CountyState,Average,RegionID
"Ada, ID",345700,46508
"Los Angeles, CA",1690400,26964
"Benton, WA",349900,52747
"Yakima, WA",291200,41802
"Delaware, IN",140000,12886
"Lowndes, GA",196300,54902
"Broward, FL",403700,33450
"Dekalb, GA",197200,39452
"Kalamazoo, MI",140800,397180
"Laramie, WY",199100,44571
"Lynchburg City, VA",210200,46348
"Henry, GA",280100,32777
"Vigo, IN",134000,20776
"Alameda, CA",906600,32540
"Elkhart, IN",188600,45127
"Tom Green, TX",119500,54294
"Saint Louis, MN",149700,51758
"Broward, FL",185700,54628
"Utah, UT",348900,26319
"Anderson, SC",189900,3404
"Miami-Dade, FL",518000,5924
"Bristol, MA",334200,31525
"Cabarrus, NC",260200,17551
"Coconino, AZ",474200,31567
"Collin, TX",298400,23444
"Williamson, TN",584600,45339
"Fairfax, VA",691500,38968
"Chesterfield, VA",409300,53311
"Ocean, NJ",389000,34311
"Mercer, NJ",142100,41279
"Hennepin, MN",350700,10451
"Hillsborough, NH",242200,33031
"Essex, MA",389100,39558
"Berks, PA",106600,6696
"Cook, IL",251500,44597
"Ottawa, MI",263200,397329
"Wayne, MI",125100,7883
"Prince Georges, MD",482700,30552
"Cobb, GA",320300,32287
"Boulder, CO",870400,30543
"Passaic, NJ",462000,24120
"Fairfield, CT",568400,26222
"Sacramento, CA",394100,51414
"Orange, CA",696900,10608
"Dutchess, NY",312800,398360
"Lake, IN",49900,45401
"Orange, FL",293300,50741
"Oakland, MI",456300,7476
"Montgomery, MD",418800,31732
"Contra Costa, CA",556200,26751
"Los Angeles, CA",549300,42150
"Pinal, AZ",177700,737787
"San Bernardino, CA",586700,44583
"Cuyahoga, OH",200700,53812
"Harrison, MS",93300,31892
"Suffolk City, VA",320700,41109
"Macomb, MI",431100,53100
"Spokane, WA",287200,17453
"Lexington, SC",247700,32489
"Oakland, MI",421000,45243
"Santa Barbara, CA",1351700,13712
"Weber, UT",221000,46863
"Los Angeles, CA",752100,50677
"Loudoun, VA",699700,32471
"King, WA",475800,5399
"Cobb, GA",306300,16425
"Larimer, CO",433500,46325
"Loudoun, VA",540700,41059
"Bradley, TN",189000,44641
"Douglas, GA",225000,11140
"San Mateo, CA",1635500,20128
"Norfolk, MA",546700,6665
"Fairfield, CT",403300,31166
"Sacramento, CA",443300,396020
"Douglas, CO",612500,33334
"Forrest, MS",215000,25066
"Macomb, MI",281700,54897
"Anne Arundel, MD",354900,45449
"Jackson, MO",332900,39398
"Whitfield, GA",187100,38130
"Cherokee, GA",328500,48573
"Loudoun, VA",723000,16818
"Madison, TN",159800,39133
"Santa Cruz, CA",694200,7784
"Sandoval, NM",157500,40574
"Fulton, GA",531000,54219
"Los Angeles, CA",688000,12292
"Boulder, CO",474200,32563
"Coweta, GA",258500,53569
"Jackson, OR",348300,5891
"Providence, RI",323500,31093
"Camden, NJ",110700,10676
"Brevard, FL",212200,19307
"Terrebonne, LA",218800,25193
"Orange, CA",871400,27491
"Hennepin, MN",312900,17191
"Contra Costa, CA",1065800,34637
"Rockdale, GA",233900,51534
"Hillsborough, FL",238600,126423
"Los Angeles, CA",689800,14634
"Santa Rosa, FL",209800,5972
"Essex, MA",300400,46179
"Eau Claire, WI",241300,51835
"Ventura, CA",919500,34278
"San Bernardino, CA",692100,27512
"Lackawanna, PA",136000,20398
"San Joaquin, CA",483200,53148
"Johnson, IN",265500,52333
"Cook, IL",510300,50764
"Hidalgo, TX",114900,19411
"Sumter, SC",93300,41128
"Los Angeles, CA",636400,10723
"Comal, TX",308800,39966
"Northampton, PA",234700,17008
"Santa Clara, CA",1760000,32999
"Cook, IL",490800,18025
"Los Angeles, CA",622900,44116
"Hillsborough, FL",230800,13325
"Orange, CA",754300,34780
"Houston, GA",172600,27768
"Newton, GA",203500,38047
"Los Angeles, CA",637700,24245
"Macomb, MI",397100,40868
"Lake, IL",208700,41587
"Faulkner, AR",219500,38004
"King, WA",915700,54089
"Guilford, NC",192300,11896
"Middlesex, MA",725600,54458
"Hartford, CT",209700,19573
"Blount, TN",230500,46431
"Washington, UT",338400,33801
"Contra Costa, CA",493500,40355
"Porter, IN",305400,41460
"Pinellas, FL",221200,12317
"San Bernardino, CA",486100,40524
"Seminole, FL",397800,6365
"Flagler, FL",188600,26366
"Buchanan, MO",82000,40704
"Oakland, MI",256500,27195
"Volusia, FL",206600,24359
"Stanislaus, CA",384800,54759
"Providence, RI",259500,6443
"Oakland, MI",473600,54179
"Saint Charles, MO",279500,40689
"Davidson, NC",114800,5621
"Tulare, CA",250600,40414
"Sacramento, CA",669200,11462
"Seminole, FL",238400,33865
"Miami-Dade, FL",402200,25372
"Tulare, CA",268300,7484
"Los Angeles, CA",540600,10241
"Snohomish, WA",562200,32615
"Orange, CA",672800,32380
"New Castle, DE",209600,14667
"Contra Costa, CA",1244700,20337
"Westchester, NY",640000,26114
"Ventura, CA",769700,51239
"Lane, OR",320500,7223
"Sonoma, CA",840900,26469
"San Diego, CA",648800,46089
"Los Angeles, CA",402800,39076
"Greenville, SC",334900,40919
"Lake, IN",76500,52390
"Pinellas, FL",328900,13167
"Stafford, VA",467200,54529
"Albany, NY",328100,397629
"Cherokee, GA",356900,37736
"Will, IL",368900,26534
"Camden, NJ",380300,37851
"Hillsborough, FL",265500,10528
"Sullivan, TN",189900,32311
"Pottawattamie, IA",118500,31070
"Buncombe, NC",328100,50779
"Alameda, CA",1248200,47164
"Cobb, GA",338600,27136
"Ocean, NJ",368500,17158
"Multnomah, OR",432900,24967
"Middlesex, MA",520400,31635
"Broward, FL",102000,52899
"San Bernardino, CA",312200,50742
"King, WA",770800,12214
"Honolulu, HI",844600,22730
"Los Angeles, CA",1208800,33612
"Sutter, CA",370400,34940
"Burleigh, ND",265000,17040
"Greenville, SC",289300,24965
"Iredell, NC",359900,46604
"Pinal, AZ",227200,10727
"Rowan, NC",229300,20323
"Fairfax, VA",557600,4032
"San Diego, CA",699900,40737
"Franklin, WA",274500,13213
"Kent, RI",289500,14478
"San Diego, CA",432600,41025
"Cascade, MT",157300,52308
"Saint Charles, MO",338800,13059
"Oakland, MI",251200,41574
"Passaic, NJ",404100,19870
"Cook, IL",366400,33889
"San Joaquin, CA",420600,39483
"Howard, MD",724100,31403
"Tippecanoe, IN",280600,41643
"Hennepin, MN",480500,26561
"Charles, MD",407600,14446
"Snohomish, WA",443800,39655
"Natrona, WY",182700,4002
"Kings, CA",280700,18453
"Los Angeles, CA",528700,32616
"Maricopa, AZ",297900,10226
